Finger,Type,Pressure,Size,X,Y,Orientation,Major,Minor
Thumb,2,0.675,0.2857143,467.58163,1400.6735,0.0,121.272995,121.272995
Thumb,2,0.5,0.26785716,467.0,1401.0,0.0,108.619995,108.619995
Thumb,1,0.5,0.26785716,467.0,1401.0,0.0,108.619995,108.619995
Thumb,0,0.83750004,0.39285716,341.0,785.0,0.0,146.579,146.579
Thumb,2,0.83750004,0.39285716,342.39737,789.1921,0.0,146.579,146.579
Thumb,2,0.825,0.4107143,365.35703,840.8925,0.0,159.232,159.232
Thumb,2,0.8125,0.37500003,380.84372,908.89435,0.0,146.579,146.579
Thumb,2,0.8,0.33928573,402.395,1007.57544,0.0,133.926,133.926
Thumb,2,0.77500004,0.33928573,433.13593,1119.967,0.0,133.926,133.926
Thumb,2,0.75,0.33928573,470.0,1254.0,0.0,133.926,133.926
Thumb,2,0.725,0.30357143,480.95755,1350.1674,0.0,121.272995,121.272995
Thumb,2,0.725,0.30357143,483.4587,1402.3848,0.0,121.272995,121.272995
Thumb,2,0.71250004,0.30357143,481.5692,1422.8771,0.0,121.272995,121.272995
Thumb,2,0.7,0.30357143,480.0,1431.4476,0.0,121.272995,121.272995
Thumb,2,0.6,0.30357143,480.0,1432.0,0.0,121.272995,121.272995
Thumb,1,0.6,0.30357143,480.0,1432.0,0.0,121.272995,121.272995
Thumb,0,0.77500004,0.35714287,316.0,792.0,0.0,133.926,133.926
Thumb,2,0.7875,0.35714287,337.64325,834.98413,0.0,133.926,133.926
Thumb,2,0.7875,0.35714287,371.99506,919.44196,0.0,133.926,133.926
Thumb,2,0.7875,0.33928573,406.4219,1024.8313,0.0,133.926,133.926
Thumb,2,0.7625,0.33928573,445.8802,1134.2515,0.0,133.926,133.926
Thumb,2,0.7375,0.33928573,476.6689,1243.2617,0.0,133.926,133.926
Thumb,2,0.71250004,0.30357143,491.63608,1323.2705,0.0,121.272995,121.272995
Thumb,2,0.7,0.30357143,496.0,1369.5831,0.0,121.272995,121.272995
Thumb,2,0.6125,0.26785716,496.0,1383.84,0.0,108.619995,108.619995
Thumb,2,0.45000002,0.23214287,496.0,1385.0,0.0,95.966995,95.966995
Thumb,1,0.45000002,0.23214287,496.0,1385.0,0.0,95.966995,95.966995
Thumb,0,0.825,0.4107143,369.0,818.0,0.0,159.232,159.232
Thumb,2,0.8125,0.37500003,391.07843,885.3921,0.0,146.579,146.579
Thumb,2,0.8,0.35714287,408.45215,973.81555,0.0,133.926,133.926
Thumb,2,0.7875,0.33928573,434.95883,1066.1078,0.0,133.926,133.926
Thumb,2,0.7625,0.33928573,466.62906,1163.6204,0.0,133.926,133.926
Thumb,2,0.7375,0.30357143,486.03333,1253.8999,0.0,121.272995,121.272995
Thumb,2,0.725,0.30357143,494.38898,1310.7797,0.0,121.272995,121.272995
Thumb,2,0.7,0.2857143,496.0,1344.8302,0.0,108.619995,108.619995
Thumb,2,0.475,0.2857143,496.0,1349.0,0.0,108.619995,108.619995
Thumb,1,0.475,0.2857143,496.0,1349.0,0.0,108.619995,108.619995
Thumb,0,0.83750004,0.39285716,341.0,784.0,0.0,146.579,146.579
Thumb,2,0.825,0.37500003,354.8632,808.19403,0.0,146.579,146.579
Thumb,2,0.8,0.35714287,392.33298,893.1654,0.0,133.926,133.926
Thumb,2,0.7875,0.33928573,415.51703,989.1213,0.0,133.926,133.926
Thumb,2,0.77500004,0.33928573,454.2333,1103.9332,0.0,133.926,133.926
Thumb,2,0.75,0.3214286,477.02527,1223.6895,0.0,133.926,133.926
Thumb,2,0.725,0.30357143,490.33127,1321.638,0.0,121.272995,121.272995
Thumb,2,0.71250004,0.2857143,493.0,1377.5692,0.0,108.619995,108.619995
Thumb,2,0.58750004,0.26785716,493.0,1389.0,0.0,108.619995,108.619995
